empresa,estado,tel,lat,long,contador
Pinto Jesus - ME,AL,31 6301-3671,-9.71,-35.73,332
Araújo e Filhos,CE,(051) 8052-8431,-3.71,-38.54,374
Aragão S/A,RO,+55 61 0221-7408,-11.22,-62.8,358
da Paz,SP,(041) 4641-5614,-23.55,-46.64,371
Ribeiro S.A.,TO,+55 (021) 8037 0059,-10.25,-48.25,391
Silva S/A,RS,+55 71 8616 3416,-30.01,-51.22,355
Vieira - EI,AM,+55 61 3889 0047,-3.07,-61.66,363
Novaes,RR,0800-490-3489,1.89,-61.22,374
Gomes Cavalcanti - ME,AC,0800 340 8544,-8.77,-70.55,408
Azevedo Moraes S.A.,AC,+55 41 3027-6149,-8.77,-70.55,408
Lima Aragão - ME,SP,+55 (021) 9487 6528,-23.55,-46.64,371
Barbosa,PA,+55 84 8615 5650,-5.53,-52.29,383
Moreira S/A,AM,(061) 2492-1506,-3.07,-61.66,363
Souza,RJ,0800 685 4071,-22.84,-43.15,378
Freitas,PA,+55 51 2727 4016,-5.53,-52.29,383
da Paz,MT,(061) 5964-7514,-12.64,-55.42,384
Cardoso,RN,+55 (011) 7086-5342,-5.22,-36.52,381
Santos,MT,+55 21 9202 9637,-12.64,-55.42,384
Correia,SP,84 6150-1049,-23.55,-46.64,371
Costela,AL,(061) 6152-3657,-9.71,-35.73,332
da Mata S.A.,SE,+55 (081) 4197 5154,-10.9,-37.07,373
Cardoso,DF,(084) 9550-5273,-15.83,-47.86,362
da Paz,AM,61 6920 0429,-3.07,-61.66,363
da Costa Barbosa e Filhos,SC,+55 (061) 5506-3575,-27.33,-49.44,368
Pinto,CE,+55 31 6604-1733,-3.71,-38.54,374
Silva,TO,+55 (081) 5671 3210,-10.25,-48.25,391
Moreira Costela - EI,SC,0800 750 9036,-27.33,-49.44,368
Alves,PA,+55 (071) 2617-3101,-5.53,-52.29,383
Cardoso,MS,0900 529 7755,-20.51,-54.54,406
Barros,ES,51 7756 6730,-19.19,-40.34,361
Duarte da Mata - EI,CE,+55 11 6554 4614,-3.71,-38.54,374
Farias,SE,+55 21 1268 8494,-10.9,-37.07,373
Fogaça Viana - EI,SC,+55 (041) 8692 4521,-27.33,-49.44,368
Ramos Ltda.,MT,+55 (051) 9759 6389,-12.64,-55.42,384
da Luz,RO,+55 (031) 4442-2841,-11.22,-62.8,358
Teixeira S.A.,CE,+55 61 0352-4886,-3.71,-38.54,374
Nunes S.A.,RJ,+55 41 1007 8014,-22.84,-43.15,378
Rezende,MS,0500-999-0533,-20.51,-54.54,406
da Paz Ltda.,SC,51 0531 5209,-27.33,-49.44,368
da Cruz,SC,+55 (071) 3948-3881,-27.33,-49.44,368
Ramos S.A.,PR,0500 865 1621,-24.89,-51.55,391
Rodrigues - ME,AC,0800 952 1739,-8.77,-70.55,408
Fogaça - EI,RO,(021) 6192 7572,-11.22,-62.8,358
da Costa,SE,+55 51 6639 4952,-10.9,-37.07,373
Caldeira Lopes - EI,PA,11 9063-1200,-5.53,-52.29,383
Lima,PR,+55 (011) 1493-3449,-24.89,-51.55,391
Pereira,ES,+55 (051) 0011 8165,-19.19,-40.34,361
Viana,RJ,+55 41 0742-7496,-22.84,-43.15,378
Cardoso da Conceição - ME,CE,0800-101-6981,-3.71,-38.54,374
Cavalcanti,AC,0800 495 1309,-8.77,-70.55,408
Fernandes da Rosa - ME,PA,+55 (071) 7989-4192,-5.53,-52.29,383
Souza,GO,+55 (071) 8031-7650,-16.64,-49.31,354
Campos,RN,81 0775-8104,-5.22,-36.52,381
Fogaça Ltda.,GO,11 6338 6997,-16.64,-49.31,354
da Mota - ME,AP,+55 (081) 8674-2830,1.41,-51.77,377
Gomes,MS,51 7646 6849,-20.51,-54.54,406
Sales,AM,+55 31 8888 8312,-3.07,-61.66,363
Ramos,PB,(061) 4982-1159,-7.06,-35.55,372
Farias,CE,+55 71 9000 8215,-3.71,-38.54,374
Lopes,DF,+55 21 5627-5727,-15.83,-47.86,362
Ribeiro,PB,(031) 2341 4827,-7.06,-35.55,372
Barbosa - EI,RJ,(051) 5600 3787,-22.84,-43.15,378
da Paz Aragão - ME,GO,+55 81 0629-1359,-16.64,-49.31,354
da Costa,BA,31 4399 9963,-12.96,-38.51,368
Vieira,RS,+55 (051) 9293 6070,-30.01,-51.22,355
Lopes,CE,+55 (071) 8042 6782,-3.71,-38.54,374
das Neves Caldeira Ltda.,PR,+55 41 7853 6813,-24.89,-51.55,391
Ramos,RR,(071) 1607-0789,1.89,-61.22,374
Porto,MS,(084) 5075 0064,-20.51,-54.54,406
Alves - EI,SE,(011) 0610 3923,-10.9,-37.07,373
Duarte,AC,(021) 2474 3212,-8.77,-70.55,408
da Mata Duarte - ME,PB,+55 (061) 4145-7751,-7.06,-35.55,372
Vieira,PI,(031) 1575 2253,-8.28,-43.68,357
da Rocha,PB,+55 21 4815-3907,-7.06,-35.55,372
Correia,AL,(084) 0119 8317,-9.71,-35.73,332
Viana,SC,31 1590-6180,-27.33,-49.44,368
da Conceição,RS,61 1961-4485,-30.01,-51.22,355
Jesus,RO,+55 41 2747 9509,-11.22,-62.8,358
Silva,AL,0300 553 6656,-9.71,-35.73,332
Moreira,GO,84 9991 6933,-16.64,-49.31,354
da Conceição,RN,71 4324-8277,-5.22,-36.52,381
das Neves Aragão e Filhos,BA,+55 21 7896 4824,-12.96,-38.51,368
Santos Ltda.,SC,(031) 7639-9744,-27.33,-49.44,368
Almeida,MS,0300 232 7590,-20.51,-54.54,406
Azevedo - ME,RJ,(041) 3615 2141,-22.84,-43.15,378
da Cruz Rezende Ltda.,AM,+55 (071) 9738-7355,-3.07,-61.66,363
Duarte S/A,MA,(084) 0091 9599,-2.55,-44.3,375
Gonçalves,SP,(051) 5240-4932,-23.55,-46.64,371
Peixoto,PE,+55 (021) 9915-8913,-8.28,-35.07,345
Monteiro,PR,(031) 3013-5163,-24.89,-51.55,391
Cardoso Pereira - EI,MS,0900 599 5951,-20.51,-54.54,406
Rocha,MG,84 8236-4864,-18.1,-44.38,339
Ribeiro,SP,81 2414 7128,-23.55,-46.64,371
Gomes,SE,+55 (061) 3062-0527,-10.9,-37.07,373
Costa,CE,(081) 7469-9995,-3.71,-38.54,374
Nunes S/A,RR,71 2742 5971,1.89,-61.22,374
Ramos Ltda.,PR,(084) 2450-1939,-24.89,-51.55,391
Farias Teixeira - EI,MA,+55 (011) 5657-2734,-2.55,-44.3,375
das Neves,DF,+55 31 7060-1766,-15.83,-47.86,362
Cavalcanti Melo - EI,SC,41 2292 4748,-27.33,-49.44,368
Castro,ES,+55 51 9115 8893,-19.19,-40.34,361
Castro Ltda.,RR,+55 (041) 5043 9193,1.89,-61.22,374
da Rocha Ltda.,RS,+55 61 6723 1849,-30.01,-51.22,355
Cardoso S/A,SP,(071) 6848-3172,-23.55,-46.64,371
Duarte,AL,(081) 7547 1015,-9.71,-35.73,332
da Rosa e Filhos,RR,(061) 7143-1238,1.89,-61.22,374
Correia - ME,RR,(071) 7502-2035,1.89,-61.22,374
Melo,RS,(051) 7608-3711,-30.01,-51.22,355
Mendes S/A,RO,+55 84 6148-5022,-11.22,-62.8,358
Melo,MG,(071) 5553 9697,-18.1,-44.38,339
da Luz,RR,(041) 9026 8679,1.89,-61.22,374
Porto Ltda.,PR,(051) 1106 4928,-24.89,-51.55,391
Nunes S/A,AP,+55 (011) 1671-2638,1.41,-51.77,377
Alves Moraes e Filhos,MS,(061) 6455 7831,-20.51,-54.54,406
Jesus,RS,+55 41 8149 7732,-30.01,-51.22,355
Rezende,PA,+55 71 8705-3563,-5.53,-52.29,383
Lima,MG,(041) 9657-3747,-18.1,-44.38,339
Viana Cunha e Filhos,SP,11 2145-0802,-23.55,-46.64,371
Santos,MG,+55 51 6013 3092,-18.1,-44.38,339
Silva e Filhos,DF,0800 338 7293,-15.83,-47.86,362
Almeida,AP,+55 11 0478 5531,1.41,-51.77,377
Ribeiro S.A.,PB,+55 61 8848 8354,-7.06,-35.55,372
Ferreira Cunha e Filhos,RR,+55 31 6450 7016,1.89,-61.22,374
Pinto - EI,RN,(084) 9634 5810,-5.22,-36.52,381
Mendes Ltda.,RS,84 2562-5141,-30.01,-51.22,355
Oliveira Martins - EI,AC,+55 61 3191-2454,-8.77,-70.55,408
das Neves S/A,RN,21 2423-0078,-5.22,-36.52,381
Cavalcanti - EI,RS,+55 (081) 5012-5164,-30.01,-51.22,355
da Rocha Pinto e Filhos,PE,0500 354 6234,-8.28,-35.07,345
Alves e Filhos,MT,(011) 5352-3289,-12.64,-55.42,384
da Luz - ME,RN,+55 84 0109-4917,-5.22,-36.52,381
Lopes,SE,+55 21 9054 2232,-10.9,-37.07,373
Pinto,RN,(031) 7920 4833,-5.22,-36.52,381
Araújo,RN,+55 11 2203 3711,-5.22,-36.52,381
Dias - EI,MT,+55 (051) 4156 9809,-12.64,-55.42,384
Vieira Ribeiro S.A.,PA,0300-912-3823,-5.53,-52.29,383
Silveira,AL,(084) 1733-7388,-9.71,-35.73,332
da Rosa Ltda.,BA,+55 (021) 2609-2442,-12.96,-38.51,368
Costela,SC,84 1306-3260,-27.33,-49.44,368
Cavalcanti e Filhos,RS,+55 31 8442 6014,-30.01,-51.22,355
Sales,RO,(071) 3204 2240,-11.22,-62.8,358
Costa,AL,+55 (061) 5351-0515,-9.71,-35.73,332
Cavalcanti Cunha S.A.,SC,+55 (011) 1936 4882,-27.33,-49.44,368
Ramos,SC,0300-951-1788,-27.33,-49.44,368
Correia,RN,(071) 6359 2267,-5.22,-36.52,381
Novaes,AC,+55 61 3948 2906,-8.77,-70.55,408
da Cunha,PR,+55 51 7764 5584,-24.89,-51.55,391
da Paz Correia - ME,CE,(011) 6573-9785,-3.71,-38.54,374
Farias Gonçalves S.A.,MT,(071) 3481-2776,-12.64,-55.42,384
Novaes,AP,(041) 3908 5749,1.41,-51.77,377
Costa e Filhos,PI,0500-102-3822,-8.28,-43.68,357
Ramos Ltda.,RN,84 2462 7080,-5.22,-36.52,381
Monteiro,PI,+55 (031) 9317 4752,-8.28,-43.68,357
Jesus,TO,(051) 9533 8328,-10.25,-48.25,391
Nogueira S.A.,GO,+55 (021) 3124-1080,-16.64,-49.31,354
Teixeira S.A.,GO,31 7432-2919,-16.64,-49.31,354
Alves S/A,RN,+55 (041) 2822-0237,-5.22,-36.52,381
Cavalcanti Fernandes S.A.,RS,+55 51 0829 6084,-30.01,-51.22,355
Carvalho S/A,ES,+55 (011) 4626-8659,-19.19,-40.34,361
Jesus,PE,+55 21 2697-6034,-8.28,-35.07,345
Costela,RS,(061) 6268 7376,-30.01,-51.22,355
Cardoso,ES,0800 811 7354,-19.19,-40.34,361
Teixeira e Filhos,ES,0800-042-3849,-19.19,-40.34,361
Cardoso da Cunha e Filhos,PE,0300 540 4618,-8.28,-35.07,345
Martins,CE,+55 71 3719-5379,-3.71,-38.54,374
Costela,PE,21 0224-4999,-8.28,-35.07,345
da Mota,TO,(021) 5449-1650,-10.25,-48.25,391
da Luz,DF,(061) 7309-7831,-15.83,-47.86,362
da Cruz da Rosa Ltda.,MS,51 2544 3807,-20.51,-54.54,406
Alves,ES,+55 (041) 5736-4444,-19.19,-40.34,361
Gonçalves,RR,81 3967 5360,1.89,-61.22,374
Sales,PR,+55 41 9412 3226,-24.89,-51.55,391
da Paz,SE,11 2813-7286,-10.9,-37.07,373
da Conceição,SE,+55 (041) 2363 2473,-10.9,-37.07,373
Cardoso e Filhos,BA,+55 (011) 8922 0755,-12.96,-38.51,368
da Rosa,DF,21 7019 7979,-15.83,-47.86,362
Pinto Nogueira Ltda.,MS,+55 (071) 3434 5733,-20.51,-54.54,406
Lima,MT,(021) 4886-1613,-12.64,-55.42,384
Alves,MA,+55 84 6395 5787,-2.55,-44.3,375
Moreira e Filhos,DF,0300-982-8604,-15.83,-47.86,362
da Cruz,PB,+55 (011) 7481-4307,-7.06,-35.55,372
Cunha,AM,11 0559-5025,-3.07,-61.66,363
Barbosa,PA,(081) 9099-9211,-5.53,-52.29,383
Cardoso,MT,81 2606 1036,-12.64,-55.42,384
Ribeiro,AC,+55 (021) 7424-3111,-8.77,-70.55,408
Peixoto Ltda.,AM,+55 (051) 2995-4839,-3.07,-61.66,363
Jesus Ltda.,SC,(051) 6863-3902,-27.33,-49.44,368
Carvalho,MA,71 3265-3691,-2.55,-44.3,375
Oliveira S/A,PE,+55 31 3152 1877,-8.28,-35.07,345
Gomes,GO,+55 (051) 7529-5210,-16.64,-49.31,354
Almeida,RR,(031) 1039 1994,1.89,-61.22,374
Dias,ES,+55 (041) 7567-1355,-19.19,-40.34,361
Cardoso,AL,(071) 3906 0894,-9.71,-35.73,332
Lopes Ltda.,RR,0900 898 2007,1.89,-61.22,374
Cardoso S.A.,CE,(021) 5296-3085,-3.71,-38.54,374
Costela,GO,21 0892 6092,-16.64,-49.31,354
Pinto,PB,+55 81 2993-1736,-7.06,-35.55,372
Castro,SP,+55 84 9090 9934,-23.55,-46.64,371
Teixeira,SC,+55 41 5802 4355,-27.33,-49.44,368
Castro,PA,(081) 4277 3544,-5.53,-52.29,383
Rocha da Mota - EI,RO,+55 (011) 7242-2049,-11.22,-62.8,358
Souza,MG,+55 (041) 2044-0609,-18.1,-44.38,339
Sales e Filhos,MG,51 1022 1045,-18.1,-44.38,339
Teixeira Mendes S/A,GO,81 2451 6557,-16.64,-49.31,354
Santos,DF,0900 021 8632,-15.83,-47.86,362
Silveira,BA,0800 119 5742,-12.96,-38.51,368
Oliveira,RJ,+55 (061) 6629 6242,-22.84,-43.15,378
Jesus,PB,+55 71 7993 7191,-7.06,-35.55,372
Campos,PB,0900 655 2036,-7.06,-35.55,372
Aragão,PR,61 2027 8296,-24.89,-51.55,391
Campos Sales Ltda.,RN,+55 51 8725 9673,-5.22,-36.52,381
Ramos,AL,11 9217 9882,-9.71,-35.73,332
Silveira,AM,+55 (051) 3813 0310,-3.07,-61.66,363
Martins,MT,(081) 2159 8399,-12.64,-55.42,384
Viana Duarte e Filhos,RS,+55 11 8148 2712,-30.01,-51.22,355
Silva,MS,+55 21 7684 3729,-20.51,-54.54,406
Oliveira Lopes Ltda.,SC,+55 41 1148-4175,-27.33,-49.44,368
Correia Nogueira e Filhos,TO,+55 (061) 9464 1191,-10.25,-48.25,391
Oliveira,DF,31 5320 2226,-15.83,-47.86,362
Almeida S.A.,AP,+55 21 8567-5472,1.41,-51.77,377
das Neves,AL,+55 11 0828-2443,-9.71,-35.73,332
da Conceição,RJ,41 8911 1248,-22.84,-43.15,378
Lopes,MS,+55 (081) 9592-2943,-20.51,-54.54,406
Pires,PI,0900 723 1576,-8.28,-43.68,357
Moraes Ribeiro S.A.,BA,11 1137 1218,-12.96,-38.51,368
da Costa,MT,+55 41 0848-3301,-12.64,-55.42,384
Novaes - ME,PI,+55 61 7087-5327,-8.28,-43.68,357
Teixeira Nunes Ltda.,DF,(061) 7750 8217,-15.83,-47.86,362
Monteiro Silveira Ltda.,ES,+55 (031) 1008-3934,-19.19,-40.34,361
Sales,PE,+55 71 0824 1147,-8.28,-35.07,345
Costa - ME,PE,(021) 5053-6357,-8.28,-35.07,345
Silveira,RR,+55 (081) 3725-4041,1.89,-61.22,374
Nunes Cardoso S/A,RN,84 6546-1285,-5.22,-36.52,381
Souza Vieira S.A.,AM,(084) 5585-5779,-3.07,-61.66,363
Novaes,AC,+55 (031) 5551 1253,-8.77,-70.55,408
Rezende Campos Ltda.,DF,(041) 0874-1704,-15.83,-47.86,362
das Neves,MS,(084) 4980 5534,-20.51,-54.54,406
da Cruz - ME,BA,(084) 9929-5201,-12.96,-38.51,368
Souza,TO,+55 81 3318 6487,-10.25,-48.25,391
Alves S/A,MA,(011) 7543 0652,-2.55,-44.3,375
Cardoso,SP,(084) 1500-4182,-23.55,-46.64,371
Souza,ES,(041) 9605-5317,-19.19,-40.34,361
Costela e Filhos,PA,51 8958 6472,-5.53,-52.29,383
Viana Duarte e Filhos,ES,+55 41 3813 9136,-19.19,-40.34,361
Moreira e Filhos,SC,+55 (084) 0269 5661,-27.33,-49.44,368
Duarte,CE,(011) 4916-8945,-3.71,-38.54,374
Rezende Costa S.A.,MA,(031) 7875-2190,-2.55,-44.3,375
Costela,RJ,+55 (041) 7272-1648,-22.84,-43.15,378
Costela Fogaça S.A.,PI,+55 (041) 8189-2237,-8.28,-43.68,357
Costa Ferreira Ltda.,RO,+55 (071) 5428-5153,-11.22,-62.8,358
da Conceição,AM,+55 11 0676 4872,-3.07,-61.66,363
Rezende S.A.,RO,(011) 4267-8451,-11.22,-62.8,358
Silva Oliveira - EI,AM,(031) 8251 0771,-3.07,-61.66,363
Costela Gonçalves - ME,MG,51 1056 9989,-18.1,-44.38,339
Oliveira,SE,+55 (084) 4344 5038,-10.9,-37.07,373
Souza,AM,51 0576 5572,-3.07,-61.66,363
Fogaça,RR,71 1458-2880,1.89,-61.22,374
Aragão S.A.,TO,+55 21 6429 3125,-10.25,-48.25,391
Rocha,CE,+55 51 1643 0745,-3.71,-38.54,374
Souza Mendes Ltda.,MT,+55 (081) 1362-4184,-12.64,-55.42,384
Gonçalves,PB,+55 (021) 2171-5594,-7.06,-35.55,372
Campos,SP,+55 (051) 8623 8665,-23.55,-46.64,371
Cavalcanti,ES,+55 11 2925-8739,-19.19,-40.34,361
Cardoso e Filhos,SC,0500-216-4498,-27.33,-49.44,368
Dias,AL,+55 (081) 4405-4025,-9.71,-35.73,332
Mendes,RJ,(084) 6917-5026,-22.84,-43.15,378
Araújo,AP,(084) 7662-4488,1.41,-51.77,377
Rodrigues,DF,+55 21 2251-6046,-15.83,-47.86,362
Cunha,MS,+55 (081) 3360-3526,-20.51,-54.54,406
Castro,RO,(031) 4976-4987,-11.22,-62.8,358
Pinto,PE,+55 (031) 6068 7348,-8.28,-35.07,345
Monteiro,ES,11 0506 7244,-19.19,-40.34,361
Farias,RR,(071) 2093 4782,1.89,-61.22,374
Gomes,AP,(051) 4278 9867,1.41,-51.77,377
Ferreira Campos - ME,RO,(041) 2069 9871,-11.22,-62.8,358
Almeida,BA,11 6474-3275,-12.96,-38.51,368
Teixeira Melo - ME,SC,+55 11 1574 8465,-27.33,-49.44,368
Cardoso,RN,11 4411-6556,-5.22,-36.52,381
Costa Ltda.,AL,(081) 4871-0110,-9.71,-35.73,332
Melo,RO,(031) 0362-4884,-11.22,-62.8,358
Teixeira - ME,AC,(041) 4574 3027,-8.77,-70.55,408
da Mota da Paz Ltda.,MT,+55 (051) 1139 8546,-12.64,-55.42,384
Barros,RN,(031) 8632 3066,-5.22,-36.52,381
Oliveira,BA,0500-502-6015,-12.96,-38.51,368
Caldeira Cunha Ltda.,DF,+55 61 0496 6993,-15.83,-47.86,362
Cardoso,AP,0800 832 5778,1.41,-51.77,377
da Costa,AC,+55 61 1267 8129,-8.77,-70.55,408
Jesus,RO,51 3718 9851,-11.22,-62.8,358
